 6.575	24.000
 6.421	21.600
 7.185	34.700
 6.998	33.400
 7.147	36.200
 6.430	28.700
 6.012	22.900
 6.172	27.100
 5.631	16.500
 6.004	18.900
 6.377	15.000
 6.009	18.900
 5.889	21.700
 5.949	20.400
 6.096	18.200
 5.834	19.900
 5.935	23.100
 5.990	17.500
 5.456	20.200
 5.727	18.200
 5.570	13.600
 5.965	19.600
 6.142	15.200
 5.813	14.500
 5.924	15.600
 5.599	13.900
 5.813	16.600
 6.047	14.800
 6.495	18.400
 6.674	21.000
 5.713	12.700
 6.072	14.500
 5.950	13.200
 5.701	13.100
 6.096	13.500
 5.933	18.900
 5.841	20.000
 5.850	21.000
 5.966	24.700
 6.595	30.800
 7.024	34.900
 6.770	26.600
 6.169	25.300
 6.211	24.700
 6.069	21.200
 5.682	19.300
 5.786	20.000
 6.030	16.600
 5.399	14.400
 5.602	19.400
 5.963	19.700
 6.115	20.500
 6.511	25.000
 5.998	23.400
 5.888	18.900
 7.249	35.400
 6.383	24.700
 6.816	31.600
 6.145	23.300
 5.927	19.600
 5.741	18.700
 5.966	16.000
 6.456	22.200
 6.762	25.000
 7.104	33.000
 6.290	23.500
 5.787	19.400
 5.878	22.000
 5.594	17.400
 5.885	20.900
 6.417	24.200
 5.961	21.700
 6.065	22.800
 6.245	23.400
 6.273	24.100
 6.286	21.400
 6.279	20.000
 6.140	20.800
 6.232	21.200
 5.874	20.300
 6.727	28.000
 6.619	23.900
 6.302	24.800
 6.167	22.900
 6.389	23.900
 6.630	26.600
 6.015	22.500
 6.121	22.200
 7.007	23.600
 7.079	28.700
 6.417	22.600
 6.405	22.000
 6.442	22.900
 6.211	25.000
 6.249	20.600
 6.625	28.400
 6.163	21.400
 8.069	38.700
 7.820	43.800
 7.416	33.200
 6.727	27.500
 6.781	26.500
 6.405	18.600
 6.137	19.300
 6.167	20.100
 5.851	19.500
 5.836	19.500
 6.127	20.400
 6.474	19.800
 6.229	19.400
 6.195	21.700
 6.715	22.800
 5.913	18.800
 6.092	18.700
 6.254	18.500
 5.928	18.300
 6.176	21.200
 6.021	19.200
 5.872	20.400
 5.731	19.300
 5.870	22.000
 6.004	20.300
 5.961	20.500
 5.856	17.300
 5.879	18.800
 5.986	21.400
 5.613	15.700
 5.693	16.200
 6.431	18.000
 5.637	14.300
 6.458	19.200
 6.326	19.600
 6.372	23.000
 5.822	18.400
 5.757	15.600
 6.335	18.100
 5.942	17.400
 6.454	17.100
 5.857	13.300
 6.151	17.800
 6.174	14.000
 5.019	14.400
 5.403	13.400
 5.468	15.600
 4.903	11.800
 6.130	13.800
 5.628	15.600
 4.926	14.600
 5.186	17.800
 5.597	15.400
 6.122	21.500
 5.404	19.600
 5.012	15.300
 5.709	19.400
 6.129	17.000
 6.152	15.600
 5.272	13.100
 6.943	41.300
 6.066	24.300
 6.510	23.300
 6.250	27.000
 7.489	50.000
 7.802	50.000
 8.375	50.000
 5.854	22.700
 6.101	25.000
 7.929	50.000
 5.877	23.800
 6.319	23.800
 6.402	22.300
 5.875	17.400
 5.880	19.100
 5.572	23.100
 6.416	23.600
 5.859	22.600
 6.546	29.400
 6.020	23.200
 6.315	24.600
 6.860	29.900
 6.980	37.200
 7.765	39.800
 6.144	36.200
 7.155	37.900
 6.563	32.500
 5.604	26.400
 6.153	29.600
 7.831	50.000
 6.782	32.000
 6.556	29.800
 7.185	34.900
 6.951	37.000
 6.739	30.500
 7.178	36.400
 6.800	31.100
 6.604	29.100
 7.875	50.000
 7.287	33.300
 7.107	30.300
 7.274	34.600
 6.975	34.900
 7.135	32.900
 6.162	24.100
 7.610	42.300
 7.853	48.500
 8.034	50.000
 5.891	22.600
 6.326	24.400
 5.783	22.500
 6.064	24.400
 5.344	20.000
 5.960	21.700
 5.404	19.300
 5.807	22.400
 6.375	28.100
 5.412	23.700
 6.182	25.000
 5.888	23.300
 6.642	28.700
 5.951	21.500
 6.373	23.000
 6.951	26.700
 6.164	21.700
 6.879	27.500
 6.618	30.100
 8.266	44.800
 8.725	50.000
 8.040	37.600
 7.163	31.600
 7.686	46.700
 6.552	31.500
 5.981	24.300
 7.412	31.700
 8.337	41.700
 8.247	48.300
 6.726	29.000
 6.086	24.000
 6.631	25.100
 7.358	31.500
 6.481	23.700
 6.606	23.300
 6.897	22.000
 6.095	20.100
 6.358	22.200
 6.393	23.700
 5.593	17.600
 5.605	18.500
 6.108	24.300
 6.226	20.500
 6.433	24.500
 6.718	26.200
 6.487	24.400
 6.438	24.800
 6.957	29.600
 8.259	42.800
 6.108	21.900
 5.876	20.900
 7.454	44.000
 8.704	50.000
 7.333	36.000
 6.842	30.100
 7.203	33.800
 7.520	43.100
 8.398	48.800
 7.327	31.000
 7.206	36.500
 5.560	22.800
 7.014	30.700
 8.297	50.000
 7.470	43.500
 5.920	20.700
 5.856	21.100
 6.240	25.200
 6.538	24.400
 7.691	35.200
 6.758	32.400
 6.854	32.000
 7.267	33.200
 6.826	33.100
 6.482	29.100
 6.812	35.100
 7.820	45.400
 6.968	35.400
 7.645	46.000
 7.923	50.000
 7.088	32.200
 6.453	22.000
 6.230	20.100
 6.209	23.200
 6.315	22.300
 6.565	24.800
 6.861	28.500
 7.148	37.300
 6.630	27.900
 6.127	23.900
 6.009	21.700
 6.678	28.600
 6.549	27.100
 5.790	20.300
 6.345	22.500
 7.041	29.000
 6.871	24.800
 6.590	22.000
 6.495	26.400
 6.982	33.100
 7.236	36.100
 6.616	28.400
 7.420	33.400
 6.849	28.200
 6.635	22.800
 5.972	20.300
 4.973	16.100
 6.122	22.100
 6.023	19.400
 6.266	21.600
 6.567	23.800
 5.705	16.200
 5.914	17.800
 5.782	19.800
 6.382	23.100
